u,v,pois_count
267180725,267180574,1
267180725,267180678,1
267180725,267180724,1
267180733,266415829,1
267180733,267180678,1
267180733,267180681,1
267180733,444087431,1
267180781,266640063,1
267180781,267180514,1
267180781,444087431,1
267180781,1304800643,1
267180946,26692480,1
267180946,288376890,1
267180946,430098062,1
267180946,1304800652,1
267180948,266415534,1
267180948,288376927,1
267180948,1304800652,1
267291397,1516232795,2
267291397,10618763994,2
267341161,267341291,1
267341161,267341313,1
267341161,267341672,1
267341291,266415630,1
267341291,267341161,1
267341291,267341314,1
267341291,267341673,1
267341313,267341161,1
267341313,267341314,2
267341314,266415630,1
267341314,267341291,1
267341314,267341313,2
267341672,267341161,1
267341672,267341673,1
267341672,267341812,1
267341673,267341291,1
267341673,267341672,1
267341673,267341812,1
267341812,267341672,1
267341812,267341673,1
267341812,1471783854,1
267670321,299742427,2
267670321,3594065857,2
267670321,9425476692,2
267670326,299742427,2
267670326,3350321921,2
267670326,10058324641,2
267670327,267670329,2
267670327,9422329093,2
267670327,10058324673,3
267670329,267670327,2
267670329,267670332,2
267670329,5065039697,2
267670332,267670329,2
267670332,267670333,2
267670332,300564303,2
267670333,267670332,2
267670333,267670334,2
267670333,1294979630,2
267670334,267670333,2
267670334,299742391,2
267670334,299742397,2
267670334,3350321923,2
267670346,299742391,2
267670346,299742394,2
267670346,1294979644,2
267670346,3350321923,2
267670352,267670353,2
267670352,1294979644,2
267670352,9937131844,2
267670353,267670352,2
267670353,267670356,2
267670353,9951537142,2
267670356,267670353,2
267670356,267670357,2
267670356,751333550,2
267670356,9951537137,2
267670357,267670356,2
267670357,267670362,4
267670362,267670357,4
267670362,267670366,2
267670366,267670362,2
267670366,267670367,2
267670366,423224519,2
267670367,267670366,2
267670367,267670370,2
267670367,423224522,2
267670370,267670367,2
267670370,267670373,2
267670370,270151682,2
267670373,267670370,2
267670373,270151675,2
267703808,635742918,1
267703808,4970514525,1
267703808,4970514526,1
267703811,267703812,1
267703811,267703821,1
267703811,4970514526,1
267703812,267703811,1
267703812,1360644286,1
267703812,1578303580,1
267703821,267703811,1
267703821,5807881095,1
267703821,5807881096,1
267703834,26154535,1
267703834,1578303580,1
267703834,5807881095,1
267703842,267703844,1
267703842,267703849,1
267703842,1360644292,1
267703842,10977461701,1
267703844,267703842,1
267703844,267703849,1
267703844,1359741936,1
267703849,267703842,1
267703849,267703844,1
267703849,267703850,1
267703849,10977461688,1
267703850,267703849,1
267787154,1332234332,2
267787154,1803799658,2
267787154,4199741611,2
267787158,20930133,2
267787158,1332234325,2
267787158,1332234332,2
267787159,20930133,2
267787159,31875691,2
267787159,299742389,2
267787164,10018782279,2
267949842,267949846,1
267949842,1660570130,1
267949842,2700973883,1
267949846,267949842,1
267949846,278781524,1
