u,v,landuse_count
7673059,7670452,1
7673059,7673064,1
7673059,3783121587,1
7673064,296206881,1
7673064,9994887804,1
7673068,6488692,1
7673068,6488693,1
7673068,7673069,1
7673068,12725372,1
7673069,7673068,1
7673069,7673076,1
7673069,9841230524,1
7673071,7673092,1
7673071,296206806,1
7673071,1476069040,1
7673071,9598469642,1
7673074,296206806,1
7673074,308728848,1
7673075,4481327742,1
7673075,4514270009,1
7673076,7673069,1
7673076,7673078,1
7673076,10537342753,1
7673078,6488693,1
7673078,7673076,1
7673078,4404424562,1
7673082,7673086,1
7673082,500851059,1
7673082,4481327744,1
7673083,2283747730,1
7673083,10014250824,1
7673084,7673086,1
7673084,7673088,1
7673084,3332950937,1
7673085,4404424569,1
7673085,5025136700,1
7673085,5025136706,1
7673086,7673082,1
7673086,7673084,1
7673086,7673092,1
7673088,7673084,1
7673088,7673091,1
7673088,9798699638,1
7673090,9598469642,1
7673090,10132442684,1
7673090,10537342753,1
7673091,7673088,1
7673091,4481327744,1
7673091,9537477294,1
7673091,10036727094,1
7673092,7673071,1
7673092,7673086,1
7673092,308728848,1
7707227,3332950952,1
7707227,4502542240,1
7707227,9986937278,1
7707230,7712473,1
7707230,9521493245,1
7707230,9550341217,1
7707237,308208612,1
7707237,3288877672,1
7707237,9994887810,1
7707237,10036727094,1
7707239,2142583255,1
7707239,5020753576,1
7707240,7712509,1
7707241,7707242,1
7707241,7707254,1
7707241,3578263651,1
7707241,3641701398,1
7707242,7707241,1
7707242,9758337780,1
7707242,10126553994,1
7707244,296206889,1
7707244,9798699627,1
7707244,10126553994,1
7707254,7707241,1
7707254,7707255,1
7707254,4502499915,1
7707254,9758327195,1
7707255,7707254,1
7707255,9545675075,1
7707255,9987093686,1
7707256,7712484,1
7707256,4504215769,1
7707256,9545675075,1
7707256,10002145260,1
7712469,1458712678,1
7712469,9798699627,1
7712471,9714313248,1
7712471,9841230518,1
7712473,7707230,1
7712473,3498951309,1
7712473,9970438932,1
7712475,9550341217,1
7712475,9580877226,1
7712475,9798699651,1
7712475,9869078083,1
7712476,7712480,1
7712476,4502499187,1
7712476,9692193664,1
7712476,9994887810,1
7712478,2283813946,1
7712478,9692193664,1
7712480,7712476,1
7712480,7712489,1
7712484,7707256,1
7712484,10601826626,1
7712487,7712491,1
7712487,7712495,1
7712487,1079727293,1
7712487,4504215769,1
7712488,7712492,1
7712488,7712498,1
7712488,1079727293,1
7712489,7712480,1
7712489,608691186,1
7712489,3332950960,1
7712491,7712487,1
7712491,9987093686,1
7712491,10126560719,1
7712492,7712488,1
7712492,9550341218,1
7712492,10126560719,1
7712494,296206774,1
7712494,1623981820,1
7712494,9537471436,1
7712495,7712487,1
7712495,308211775,1
7712495,1623981820,1
7712496,1079727293,1
7712497,7712498,1
7712498,7712488,1
7712498,7712497,1
7712498,9869078084,1
7712502,7712521,1
7712502,17343195,1
7712502,4502499811,1
7712502,5020753576,1
7712505,7712517,1
7712505,2182156271,1
7712505,4502499811,1
7712508,7712509,1
7712509,7707240,1
7712509,7712508,1
7712509,2182156271,1
7712511,5503414536,1
7712511,9517947200,1
7712514,9987093705,1
7712516,9994899419,1
7712517,7712505,1
7712517,7712518,1
7712517,7712521,1
7712517,9987093705,1
7712518,7712517,1
7712521,7712502,1
7712521,7712517,1
7712521,9994899419,1
7726641,18023275,1
7726643,8097241,1
7726643,8321020,1
7726643,738947573,1
7726644,13091944,1
7726644,738947573,1
7726644,4945395247,1
7726647,8892841,1
7726649,8892842,1
7726649,297975763,1
7726654,288315054,1
7726654,4549191876,1
7726654,9955289015,1
7726656,7726657,1
7726656,8086415,1
7726656,288315054,1
7726656,3920514967,1
7726657,7726656,1
7726657,17551054,1
7726657,95878794,1
7726658,475575263,1
7726658,1572907370,1
7726661,20908343,1
7726662,297924453,1
7726683,7646332,1
7726683,8226656,1
7726683,10810876376,1
7726683,10810876377,1
7726686,7726688,1
7726686,30569348,1
7726686,3185019788,1
7726688,30568634,1
7726688,30569287,1
7726688,3185019784,1
7729260,369339133,1
7729260,9149485015,1
7729260,9149498217,1
7729261,7729269,1
7729261,1801580958,1
7729261,7719030131,1
7729261,9149484994,1
7729269,7729261,1
7729269,367371656,1
7729269,9149498220,1
7729271,3579152357,1
7729273,367371656,1
7729273,5451426724,1
7729273,8952135311,1
7729276,7729278,1
7729276,274860031,1
7729276,3792177543,1
7729276,3792177553,1
7729278,7729276,1
7729280,7729283,1
7729280,3792177546,1
7729280,3998863468,1
7729281,8990288645,1
7729283,7729280,1
7729283,5600098460,1
7729283,7447568043,1
7729283,8493120143,1
7731349,7731351,1
7731349,20919919,1
7731349,454470280,1
7731351,7731349,1
7731351,274860016,1
7731351,454470280,1
7731354,7731356,1
7731354,3792177541,1
7731354,8493120143,1
7731354,8992401130,1
7731356,7731354,1
7731356,20917728,1
7731356,274860016,1
7731356,3792177553,1
7735673,8078567,1
7735673,8086013,1
7735673,1374739798,1
7735674,8078566,1
7735674,8085617,1
7737277,7211080,1
7737277,4723966378,1
7741036,7349378,1
7741036,7349381,1
7741037,606807429,1
7741037,6496142664,1
7741038,7741037,1
7741038,530681632,1
7741038,10121813216,1
7741063,8489747552,1
7766755,7313651,1
7766755,25182350,1
7766755,721492298,2
7766759,1441302,1
7766759,7313649,1
7766759,7766760,1
7766760,7766759,1
7766761,7766781,1
7766762,7766765,1
7766762,10938930,1
7766765,7766762,1
7766765,25182350,1
7766765,4366499587,2
7766773,7766785,1
7766773,31267568,1
7766773,4092911577,2
7766773,6476369086,1
7766780,7766794,1
7766780,7773008,1
7766780,6476369086,1
7766781,8225569,1
7766781,254348945,1
7766783,7766784,1
7766783,7766789,1
7766783,254910151,1
7766784,7766783,1
7766784,7766788,1
7766784,10284516007,1
7766785,7766773,1
7766785,7766786,1
7766785,7766793,1
