u,v,roads_p_count
6504028,4955465762,4
6504038,7262118,5
6504038,8217176,5
6527591,8084676,6
6527591,104374395,5
6527591,291222063,5
6527591,5456826201,5
6527605,7397306,5
6527605,8086661,5
6527605,445515600,5
6527617,6527618,3
6527617,7224389,6
6527617,4602503814,3
6527618,6527617,3
6527618,8084684,4
6527618,20847846,3
6527620,8084684,4
6527620,20847846,3
6527620,4741417216,3
6527623,8084688,3
6527623,4612822711,3
6527623,8523898456,3
6527626,7459404,5
6527626,8084799,4
6527626,2211699871,4
6527627,6527628,3
6527627,8084799,3
6527627,4961285161,3
6527628,6527627,3
6527628,8084803,3
6527628,8085028,3
6527628,460467429,3
6527630,8084805,3
6527630,8085027,3
6527630,23723716,3
6527632,8909830,3
6527632,8912847,3
6527632,4961285225,3
6527635,8084809,4
6527635,23723734,4
6527635,2632159333,4
6527635,4961285230,4
6527639,8327476,5
6527639,3605960571,5
6527639,3605960576,5
6527639,4895451169,5
6540008,20946243,7
6540008,253180526,6
6540008,281683160,6
6540008,5434289426,6
6542970,8536102,6
6542970,6778985985,3
6542974,8536110,4
6542974,6949733643,4
6542975,7774701,8
6542975,298497234,6
6542975,10233248898,6
6542976,2332857084,5
6542988,3098681267,5
6542988,4199695621,5
6542992,269598182,6
6542992,4527950105,5
6961191,3641701423,3
6961191,9997256334,3
6961191,10731295124,3
6961266,25259687,4
6961266,26013970,7
6961266,1462295807,4
7170192,17552613,2
7170192,18055120,3
7170192,9060541921,3
7170216,17556298,5
7170216,274874462,5
7170216,438089984,5
7170216,10114240827,5
7211076,7262117,3
7211076,288387751,3
7211076,288387788,4
7211077,8097299,4
7211077,13091944,3
7211077,4945395247,5
7211079,8086459,4
7211079,1474884406,3
7211079,1474884407,3
7211080,7737277,5
7211080,1374739785,4
7211080,5487431873,5
7211080,5487431874,4
7217648,995185681,7
7217648,4393246328,4
7217650,1574141731,5
7217650,3410404944,7
7217651,298629945,7
7217651,3207917505,5
7217651,4927474144,7
7217655,7217659,7
7217655,559943597,7
7217655,1441896599,8
7217655,7726312673,6
7217656,3713903542,7
7217656,3713903560,6
7217657,298548449,7
7217657,559943597,7
7217657,8491203076,5
7217659,8088643,7
7217659,8310705,6
7217659,1438769151,5
7217661,289673466,3
7217661,1574174852,3
7217663,697777,6
7217663,706250,6
7217663,14924274,5
7224384,7224386,5
7224384,8546318,5
7224384,3496730817,4
7224386,7224384,5
7224386,462244324,5
7224386,4717073290,4
7224388,1310602139,6
7224388,1579437316,5
7224388,4669093113,5
7224388,4717583480,5
7224389,6527617,6
7224389,7224390,6
7224389,7397306,5
7224389,8097301,5
7224390,7224389,6
7224390,8086661,4
7224390,20847845,4
7224390,4673538601,4
7224391,298795582,6
7224391,298795676,6
7224391,458718207,4
7224394,6854176729,5
7224394,8676333004,4
7224397,7224398,4
7224397,1190873119,3
7224397,7425783057,3
7224398,697538,6
7224398,7224397,4
7224398,24360092,5
7224402,2931115240,5
7224402,3262975604,5
7224402,8792002664,5
7224402,10567931018,6
7224421,8086006,4
7224421,4712175285,3
7224421,5450247684,3
7224422,4712175304,5
7224422,10918472137,4
7235679,8321022,4
7235679,1582952741,4
7235679,1754788597,4
7235688,7235689,5
7235688,267024527,4
7235688,1146193414,4
7235689,7235688,5
7235689,5996601374,4
7235689,7448948454,4
7235696,4878969897,5
7235696,6949628468,5
7235698,25274001,6
7235698,1727658444,6
7235698,10013166377,5
7235700,7235703,3
7235700,1437799333,4
7235703,7235700,3
7235703,1636974789,3
7235703,1637605766,3
7235706,7235708,3
7235706,1637600152,3
7235706,1637605789,3
7235707,1637600152,3
7235707,1637600158,3
7235708,7235706,3
7235708,2687461340,4
7235713,8468145,6
7235713,298530867,8
7235713,8339387867,5
7235723,7235713,6
7235723,7235725,4
7235725,4927460205,3
7235725,8418796239,3
7235746,7235747,3
7235746,7235753,3
7235746,6284075927,4
7235747,7235746,3
7235747,7235748,3
7235747,7235754,4
7235748,7235747,3
7235748,7235749,3
7235748,7235755,3
7235749,7235748,3
7235749,7235750,3
7235749,7235756,3
7235750,7235749,3
7235750,7235751,5
7235750,8087162,3
7235751,7235750,5
7235751,277057926,5
7235751,10537115327,5
7235753,7235746,3
7235753,7235754,4
7235753,6587693424,4
7235754,7235747,4
7235754,7235753,4
7235754,7235755,4
7235754,7235757,4
7235755,7235748,3
7235755,7235754,4
7235755,7235756,3
7235756,7235749,3
7235756,7235755,3
7235756,8087162,3
7235757,1614288289,4
7235757,6284075936,4
7235762,7235763,5
7235762,277057926,4
7235762,298870632,8
7235763,7235762,5
7235763,277057929,4
7235763,2313636068,4
7235765,1631288069,3
7235765,4876445706,3
7235766,7235767,4
7235766,7235769,4
7235766,3770194838,3
7235767,7235766,4
7235767,7235768,4
7235767,2313636068,4
7235768,7235767,4
7235768,7235769,4
7235769,7235766,4
7235769,9996982078,4
7235770,7235771,6
7235770,9996909141,5
7235771,298870617,4
7235771,298870622,5
7236801,6048839136,4
7236801,9950154963,4
7244204,20927537,5
7244204,3378861476,5
7244204,3761438747,5
7244204,6331424643,5
7244205,1217537075,4
7244205,1678035933,4
7244205,6331424643,4
7244206,20850966,5
7244206,2327433451,4
7244206,2328511277,6
7244208,7741066,5
7244208,8099296,6
7244208,4237583607,5
7244214,3470622727,4
7244214,6863780755,6
7244221,7640659,6
7244221,115428919,5
7244221,115428939,5
7244229,8085671,5
7244229,8538468,5
7244229,9712542353,4
7262116,8097292,4
7262116,5297638245,4
7262116,5297638251,4
7262117,7262118,4
7262117,5297638251,3
7262118,6504038,5
7262118,7262117,4
7262118,7262119,5
7262118,532495646,4
7262119,288387751,4
7262119,288387930,4
7302074,3741473343,4
7302074,9851999309,4
7302074,9851999314,4
7302078,17034820,5
7302078,248119044,5
7302078,1620315885,5
7302078,2206848494,5
7302080,20944631,3
7302080,2206848497,3
7302080,10583316365,3
7302087,1579405498,3
7302087,10019656409,3
7302087,10127063718,3
7302089,1579405463,5
7302089,4888246713,6
7302089,4888246719,6
7302089,10596098430,5
7302090,7302091,3
7302090,7741065,3
7302090,8115539,5
7302091,7302090,3
7302091,8099296,4
7302093,2178030021,3
7302093,6979216247,3
7302098,7707240,8
7302098,5082244598,7
7302098,9775022315,6
7313646,8078536,5
7313646,8228719,5
7313646,8229908,4
7313646,21763343,4
7313647,7313649,6
7313647,1189253953,5
7313647,10161917812,5
7313647,10908450603,4
7313648,7313653,3
7313648,1189253953,3
7313648,1798826439,3
7313649,7313647,6
7313649,7313651,6
7313649,7766759,5
7313649,1579301781,4
7313651,7313653,5
7313651,7766755,5
7313651,721492298,6
7313653,7313648,3
7313653,7313651,5
7313653,14781933,3
7313655,7766797,4
7313655,14781946,5
7313655,10313016667,4
7349378,8084566,6
7349378,8120884,5
7349381,8085679,3
7397295,4638070639,4
7397295,4638070644,4
7397299,445515887,3
7397299,4638070635,3
7397303,445522199,5
7397303,1626975677,5
7397303,4725687897,5
7397303,5298316572,5
7397306,6527605,5
7397306,7224389,5
7397306,7397295,4
7459404,6527626,5
7459404,1374669693,4
7459404,2211699863,4
7459408,7459412,5
7459408,8084679,5
7459408,8872343,4
7459409,7459411,5
7459409,8084681,3
7459409,8872343,4
7459411,7459409,5
7459411,8084798,5
7459411,8084801,5
7459411,456281927,5
7459412,7459408,5
7459412,456281927,5
7459412,1374682548,5
7459412,5926663912,5
7459414,8096896,5
7459414,4696404750,4
7459414,4696404775,4
7469744,1664528426,3
7469744,1802654578,3
7469744,4741417821,3
7469747,8085026,3
7469747,291424005,3
7469747,7920293755,3
7469748,8084678,3
7469748,1620320095,3
7469748,6402556885,3
7469749,16495095,3
7469749,26673084,3
7469749,104334093,3
7470151,314435403,4
7470151,2698667370,4
7470151,4230086163,5
7470153,314435400,4
7470153,727392859,3
7476468,7493314,5
7476468,2940335606,6
7476468,3628791668,5
7476468,3636998447,5
7476470,7375071325,5
7476470,7375071327,5
7476473,7493308,4
7476473,1337353172,3
7476473,2119882497,3
7476474,6611055551,4
7476474,6993593874,3
7476474,7375071316,4
7476474,7375071322,3
7476480,616487609,2
7476484,4200080187,3
7476484,4200080303,3
7476484,9597946531,3
7476485,8082305,3
7476485,4200080187,3
7476489,294222455,5
7476489,6937813504,4
7476489,9850913955,4
7481092,26211617,5
7481095,26211708,5
7481095,5636058236,5
7481097,1360644292,3
