u,v,railways_p_count
3394239335,3394239336,4
3394239336,3394239335,4
3410464531,4230604095,2
3425425153,3779551364,4
3425425153,4305444788,4
3425425153,9219069286,4
3428473797,287334347,1
3428791968,93421946,2
3468170569,7773013,2
3471422225,26154491,6
3525860483,2677289613,2
3559238195,10130034971,3
3594065875,3594065876,1
3594065876,3594065875,1
3623340259,899205620,2
3623358704,6328325387,2
3626959237,6651812343,2
3627218944,3100571356,4
3627218946,6048884463,2
3627218947,7487078,2
3627218951,2226036755,3
3627218951,2825666668,1
3627218951,6048884455,1
3627218951,10233262326,1
3630841681,10229248950,2
3632717593,4950643825,1
3635213519,1059527645,1
3635219649,2516856980,1
3635229216,3635229219,2
3635229216,3635229228,1
3635229217,2512504212,6
3635229217,2513054100,4
3635229218,3635229221,2
3635229219,3635229216,2
3635229219,3635229220,2
3635229220,3635229219,2
3635229221,3635229218,2
3635229221,3635229222,2
3635229222,3635229221,2
3635229222,3635229223,2
3635229223,3635229222,2
3635229223,3635229224,1
3635229224,3635229223,1
3635229226,3635266135,5
3635229226,10832230281,2
3635229228,3635229216,1
3635266133,3635266134,7
3635266133,10832230284,3
3635266134,3635266133,7
3635266134,3635266135,5
3635266135,3635229226,5
3635266135,3635266134,5
3636387522,8500169642,1
3646996358,269593842,1
3646996358,3646996361,1
3646996358,7373450460,1
3646996361,8082291,1
3646996361,3646996358,1
3658261012,8082291,1
3662027356,7563505115,2
3662027359,270109828,1
3675330840,1944632366,1
3675560898,17343216,1
3679259118,4482361691,1
3695337456,3695337472,1
3695337456,3695337476,1
3695337461,3695337472,1
3695337472,3695337456,1
3695337472,3695337461,1
3695337472,3695337476,1
3695337476,3695337456,1
3695337476,3695337472,1
3695337476,4484056202,1
3695337477,4484056197,2
3713815420,3713903541,1
3713903541,3713815420,1
3713903541,3713815422,1
3713903549,8406515013,2
3713903552,3713903555,1
3713903555,3713903562,1
3713903555,10007040666,1
3713903562,3676767755,2
3713903562,3713903559,2
3761448791,3761448796,2
3761448791,3761448798,2
3771910721,7596712870,1
3772022524,280021805,2
3779551368,249639218,4
3783121586,3783121587,2
3783121587,3783121586,2
3822941271,10004928515,2
3830002742,1579405435,2
3931242758,6952974537,1
3996249657,4950676396,1
4033524128,266702699,1
4033524128,7456869359,1
4087209643,4725608644,1
4092911577,24956250,2
4191517115,274068932,4
4199695688,4199695805,2
4199695790,300562272,2
4199695800,4199695797,2
4199695801,4199695686,2
4199695805,4199695688,2
4225167464,1064956110,2
4230604095,3410464531,2
4230604122,9893481634,2
4243252161,1063570429,2
4243252171,1357615533,2
4245959284,4985777716,1
4252997883,4296995242,1
4289244937,4289244949,2
4289244939,3092851649,1
4289244939,5798220235,1
4289244940,4289244939,1
4289244945,3092851649,2
4289244945,5798220236,1
4296995242,10437897,3
4296995242,4252997883,1
4305444782,3425425153,4
4305444788,3425425153,4
4393194477,8115914,1
4393194485,1598911594,1
4393194485,4393194734,1
4393194734,1598907886,1
4393194734,4393194485,1
4393194749,4393194752,1
4393194752,4393194749,1
4393194752,10567765627,1
4393194752,10567765633,1
4393194753,8115914,1
4404424554,5015464986,1
4428907406,543377604,2
4448244352,5297638233,1
4448244352,5297638234,1
4448244353,4684161321,1
4481327742,4481327743,1
4481327743,4481327742,1
4482360385,4482360386,1
4482360386,8217858,1
4482360386,4482360385,1
4482361691,3679259118,1
4484056197,3695337477,2
4484056202,3695337476,1
4502272958,9948078910,2
4502272958,9948078911,1
4502272972,727392860,1
4502272972,4502272987,1
4502272974,4502272979,1
4502272979,4502272974,1
4502272979,4502272980,1
4502272979,4502272984,1
4502272980,4502272979,1
4502272980,4502272985,2
