u,v,buildings_count
3288523974,3288523970,1
3288877663,3288877671,1
3288877671,3288877663,1
3288877672,3288877679,1
3288877679,3288877672,1
3289070009,3289070011,1
3289070011,3289070009,1
3289070014,3289070015,1
3289070015,3289070014,1
3295567317,4795451911,1
3296230846,20930086,1
3305197395,8233786,1
3330007041,662159931,1
3338530931,3338571832,1
3338571832,3338530931,1
3341926689,2340692314,1
3346885487,6332099156,1
3348541743,3348541745,1
3348541745,3348541743,1
3355497695,3373325363,1
3355497696,3373325363,1
3355497697,3373325364,1
3355497698,3373325364,1
3355497699,3373325365,1
3355497700,3373325365,1
3365417384,1678035930,1
3373325363,3355497695,1
3373325363,3355497696,1
3373325364,3355497697,1
3373325364,3355497698,1
3373325365,3355497699,1
3373325365,3355497700,1
3378907818,3378907837,1
3378907822,3394151289,1
3378907837,3378907818,1
3379923762,2067337720,1
3391623294,9834619249,1
3391623315,9834619253,1
3391623821,9834619251,1
3392584318,26490177,1
3392584321,26490190,1
3394151289,3378907822,1
3396810988,3396810989,1
3396810989,3396810988,1
3399641134,10833678379,1
3401474062,3401474064,1
3401474064,3401474062,1
3402571305,10018790162,1
3410404943,3410404940,1
3416213701,3416213702,1
3416213702,3416213701,1
3417201667,3635229219,1
3417201669,2953861842,1
3417201669,2953861843,1
3417201669,3635229220,2
3417201672,2953861840,1
3417201672,2953861841,1
3417201672,3635229221,2
3417201674,2953861838,1
3417201674,2953861839,1
