u,v,traffic_p_count
8086439,8086438,1
8086626,3623357788,1
8086629,7680386338,1
8086659,8547297,1
8086660,8546303,1
8086661,6527605,2
8086668,314464704,1
8087147,8087149,1
8087147,8087228,1
8087147,298870594,1
8087147,2610953235,1
8087149,8087147,1
8087152,8087153,2
8087152,4252997883,2
8087152,4296995260,1
8087152,4306456865,1
8087153,8087152,2
8087182,7665010,1
8087188,697537,1
8087196,10018841936,1
8087197,10018841936,1
8087205,791992,2
8087205,1050213861,2
8087206,8087205,2
8087206,6352788955,1
8087211,2785772109,1
8087212,1050213922,1
8087212,2785772108,1
8087215,10437896,2
8087215,4452335626,2
8087215,4876779880,2
8087220,8087221,1
8087221,8087220,1
8087228,8087147,1
8087228,256574149,1
8087239,7588110219,1
8087242,1307005050,1
8087253,2424059383,1
8087255,1190835644,1
8088034,1190835746,1
8088038,1190835854,1
8088039,697535,1
8088039,3249663594,2
8088039,9286507854,3
8088642,8574699,1
8089128,7493353,1
8089143,8089618,1
8089143,8361075800,1
8089209,296199140,2
8089219,296199140,2
8089228,296199152,1
8089228,9789333814,1
8089405,3208181884,1
8089615,1347271038,1
8089616,8089617,1
8089617,8089616,1
8089618,8089143,1
8089662,7056531162,1
8089663,2062613912,1
8091675,24840259,2
8091675,721514743,2
8091675,1366705769,2
8091675,1488402528,2
8096059,4519617456,1
8097233,6504024,2
8097289,2760235822,2
8097291,8086412,2
8097301,7224389,2
8099296,7244208,2
8099296,7302091,1
8099296,8115536,1
8099319,8099320,1
8099320,8099319,1
8099320,478795140,1
8099320,1225081421,1
8099320,4625116505,1
8099321,6504012,5
8099321,6504013,2
8099321,4620769368,2
8099321,4945414570,1
8099322,257798865,1
8099322,1227809451,2
8099322,1629204961,2
8099322,4618548277,2
8099322,4625116505,2
8115536,4252257566,1
8115537,7302091,1
8115914,1598911594,1
8115914,4393194749,2
8115914,4393194752,2
8115914,4393194782,1
8115914,10567765627,1
8118485,3207950401,1
8118492,3207917509,1
8118517,2237901302,2
8118517,2547460307,2
8118517,9324577323,2
8118523,1784499632,1
8118523,1865334519,2
8118523,4931068908,1
8118523,9571120317,2
8120060,6513086918,2
8120060,6513086922,1
8120883,7741036,1
8120886,6503260,1
8120886,300633922,1
8121560,576725,1
8121561,576725,1
8121564,4504271019,1
8121569,4504271019,1
8121572,1411071138,2
8121576,1411071138,1
8121576,6982007410,1
8122133,1036702774,2
8122133,8435704915,2
